Premis Cd,Premis Desc
101.0,STREET
128.0,BUS STOP/LAYOVER (ALSO QUERY 124)
502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
405.0,CLOTHING STORE
102.0,SIDEWALK
501.0,SINGLE FAMILY DWELLING
248.0,CELL PHONE STORE
750.0,CYBERSPACE
751.0,WEBSITE
203.0,OTHER BUSINESS
108.0,PARKING LOT
504.0,OTHER RESIDENCE
605.0,AUTOMATED TELLER MACHINE (ATM)
404.0,DEPARTMENT STORE
221.0,PUBLIC STORAGE
707.0,GARAGE/CARPORT
209.0,EQUIPMENT RENTAL
702.0,OFFICE BUILDING/OFFICE
726.0,POLICE FACILITY
801.0,MTA BUS
729.0,SPECIALTY SCHOOL/OTHER
602.0,BANK
725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
737.0,SKATING RINK*
124.0,BUS STOP
720.0,JUNIOR HIGH SCHOOL
116.0,OTHER/OUTSIDE
103.0,ALLEY
122.0,"VEHICLE, PASSENGER/TRUCK"
506.0,ABANDONED BUILDING ABANDONED HOUSE
212.0,TRANSPORTATION FACILITY (AIRPORT)
505.0,MOTEL
701.0,HOSPITAL
112.0,"BUS, SCHOOL, CHURCH"
710.0,OTHER PREMISE
120.0,STORAGE SHED
406.0,OTHER STORE
721.0,HIGH SCHOOL
145.0,MAIL BOX
503.0,HOTEL
735.0,NIGHT CLUB (OPEN EVENINGS ONLY)
604.0,FINANCE COMPANY
109.0,PARK/PLAYGROUND
717.0,HEALTH SPA/GYM
708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
712.0,COLISEUM
104.0,DRIVEWAY
152.0,UNDERPASS/BRIDGE*
607.0,BANKING INSIDE MARKET-STORE *
238.0,TELECOMMUNICATION FACILITY/LOCATION
222.0,LAUNDROMAT
119.0,"PORCH, RESIDENTIAL"
507.0,CONDOMINIUM/TOWNHOUSE
514.0,GROUP HOME
125.0,PAY PHONE
220.0,NAIL SALON
154.0,TRAIN TRACKS
704.0,ELEMENTARY SCHOOL
740.0,OTHER PLACE OF WORSHIP
243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
517.0,MISSIONS/SHELTERS
802.0,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
732.0,POST OFFICE
943.0,MTA - EXPO LINE - JEFFERSON/USC
121.0,YARD (RESIDENTIAL/BUSINESS)
111.0,BUS-CHARTER/PRIVATE
804.0,GREYHOUND OR INTERSTATE BUS
207.0,BAR/COCKTAIL/NIGHTCLUB
518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE
301.0,GAS STATION
127.0,TRASH CAN/TRASH DUMPSTER
403.0,DRUG STORE
210.0,RESTAURANT/FAST FOOD
733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT)
510.0,NURSING/CONVALESCENT/RETIREMENT HOME
603.0,CREDIT UNION
208.0,AUTO SALES LOT
123.0,PARKING UNDERGROUND/BUILDING
135.0,MTA PROPERTY OR PARKING LOT
410.0,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
247.0,CAR WASH
217.0,AUTO REPAIR SHOP
719.0,MEDICAL/DENTAL OFFICES
412.0,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
834.0,LA UNION STATION (NOT LINE SPECIFIC)
401.0,MINI-MART
402.0,MARKET
727.0,SHOPPING MALL (COMMON AREA)
155.0,DAM/RESERVOIR
724.0,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
906.0,MTA - RED LINE - VERMONT/BEVERLY
231.0,DAY CARE/CHILDREN*
235.0,PHARMACY INSIDE STORE OR SUPERMARKET*
242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
146.0,PATIO*
903.0,MTA - RED LINE - 7TH AND METRO CENTER
232.0,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
253.0,MORTUARY
949.0,MTA - EXPO LINE - EXPO/LA BREA
706.0,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
868.0,MTA - ORANGE LINE - NORTH HOLLYWOOD
252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
254.0,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
118.0,CONSTRUCTION SITE
218.0,BEAUTY/BARBER SHOP
156.0,VALET
202.0,LIQUOR STORE
511.0,PROJECT/TENEMENT/PUBLIC HOUSING
409.0,BEAUTY SUPPLY STORE
142.0,DRIVE THRU*
913.0,MTA - RED LINE - NORTH HOLLYWOOD
945.0,MTA - EXPO LINE - EXPO/VERMONT
214.0,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
736.0,SKATEBOARD FACILITY/SKATEBOARD PARK*
713.0,CONVENTION CENTER
213.0,WAREHOUSE
753.0,DETENTION/JAIL FACILITY
249.0,NURSERY/FLOWER SHOP
921.0,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
251.0,RECYCLING CENTER
138.0,STAIRWELL*
835.0,7TH AND METRO CENTER (NOT LINE SPECIFIC)
508.0,FRAT HOUSE/SORORITY/DORMITORY
114.0,TAXI
418.0,
302.0,FACTORY
158.0,TRANSIENT ENCAMPMENT
904.0,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
415.0,THE GROVE
516.0,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
755.0,VETERINARIAN/ANIMAL HOSPITAL
229.0,CHECK CASHING*
241.0,ENERGY PLANT/FACILITY
408.0,AUTO SUPPLY STORE*
117.0,BEACH
946.0,MTA - EXPO LINE - EXPO/WESTERN
106.0,TUNNEL
256.0,
417.0,THE BEVERLY CONNECTION
709.0,PUBLIC RESTROOM(INDOORS-INSIDE)
201.0,JEWELRY STORE
515.0,APARTMENT/CONDO COMMON LAUNDRY ROOM
730.0,SYNAGOGUE/TEMPLE
966.0,MTA - GOLD LINE - UNION STATION
411.0,PET STORE
718.0,MASSAGE PARLOR
211.0,PAWN SHOP
728.0,ELEVATOR
703.0,ENTERTAINMENT/COMEDY CLUB (OTHER)
407.0,HARDWARE/BUILDING SUPPLY
219.0,CLEANER/LAUNDROMAT
741.0,STAPLES CENTER *
935.0,MTA - BLUE LINE - WASHINGTON
752.0,FIRE STATION
738.0,LIBRARY
413.0,FURNITURE STORE
744.0,HIGH-RISE BUILDING
416.0,THE BEVERLY CENTER
206.0,TV/RADIO/APPLIANCE
244.0,TOBACCO SHOP
900.0,MTA - RED LINE - UNION STATION
255.0,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
519.0,SHORT-TERM VACATION RENTAL
754.0,MUSEUM
916.0,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
901.0,MTA - RED LINE - CIVIC CENTER/GRAND PARK
237.0,HOSPICE
885.0,MTA - ORANGE LINE - CHATSWORTH
942.0,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
922.0,MTA - PURPLE LINE - WILSHIRE/WESTERN
151.0,TOW YARD*
971.0,MTA - GOLD LINE - HIGHLAND PARK
239.0,MEDICAL MARIJUANA FACILITIES/BUSINESSES
912.0,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
140.0,BALCONY*
606.0,DRIVE THRU BANKING (WINDOW)*
150.0,TOOL SHED*
144.0,GOLF COURSE*
110.0,FREEWAY
723.0,PRIVATE SCHOOL/PRESCHOOL
230.0,DAY CARE/ADULTS*
902.0,MTA - RED LINE - PERSHING SQUARE
705.0,SLIPS/DOCK/MARINA/BOAT
716.0,THEATRE/MOVIE
157.0,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
141.0,CEMETARY*
948.0,MTA - EXPO LINE - FARMDALE
115.0,AIRCRAFT
303.0,OIL REFINERY
908.0,MTA - RED LINE - VERMONT/SUNSET
905.0,MTA - RED LINE - WILSHIRE/VERMONT
895.0,MTA - SILVER LINE - HARBOR FWY
107.0,VACANT LOT
745.0,WATER FACILITY
205.0,GUN/SPORTING GOODS
757.0,BASKETBALL COURTS
956.0,MTA - GREEN LINE - AVALON
937.0,MTA - BLUE LINE - 103RD/WATTS TOWERS
512.0,FOSTER HOME BOYS OR GIRLS*
907.0,MTA - RED LINE - VERMONT/SANTA MONICA
953.0,MTA - EXPO LINE - EXPO/SEPULVEDA
236.0,VISION CARE FACILITY*
920.0,MTA - PURPLE LINE - WILSHIRE/VERMONT
911.0,MTA - RED LINE - HOLLYWOOD/HIGHLAND
811.0,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
936.0,MTA - BLUE LINE - VERNON
957.0,MTA - GREEN LINE - HARBOR FWY
105.0,PEDESTRIAN OVERCROSSING
897.0,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
940.0,MTA - EXPO LINE - 7TH AND METRO CENTER
954.0,MTA - EXPO LINE - EXPO/BUNDY
910.0,MTA - RED LINE - HOLLYWOOD/VINE
216.0,SWAP MEET
742.0,"SPORTS VENUE, OTHER"
148.0,PUBLIC RESTROOM/OUTSIDE*
919.0,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
951.0,MTA - EXPO LINE - PALMS
934.0,MTA - BLUE LINE - SAN PEDRO
149.0,RIVER BED*
876.0,MTA - ORANGE LINE - RESEDA
896.0,MTA - SILVER LINE - ROSECRANS
204.0,MANUFACTURING COMPANY
233.0,TATTOO PARLOR*
234.0,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
944.0,MTA - EXPO LINE - EXPO PARK/USC
877.0,MTA - ORANGE LINE - TAMPA
147.0,POOL-PUBLIC/OUTDOOR OR INDOOR*
601.0,SAVINGS & LOAN
809.0,METROLINK TRAIN
947.0,MTA - EXPO LINE - EXPO/CRENSHAW
758.0,HANDBALL COURTS
950.0,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
933.0,MTA - BLUE LINE - GRAND/LATTC
932.0,MTA - BLUE LINE - PICO
139.0,AMUSEMENT PARK*
113.0,"TRUCK, COMMERICAL"
739.0,SPORTS ARENA
931.0,MTA - BLUE LINE - 7TH AND METRO CENTER
909.0,MTA - RED LINE - HOLLYWOOD/WESTERN
970.0,MTA - GOLD LINE - SOUTHWEST MUSEUM
974.0,
215.0,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
915.0,MTA - PURPLE LINE - UNION STATION
962.0,MTA - GOLD LINE - SOTO
228.0,BOWLING ALLEY*
871.0,MTA - ORANGE LINE - WOODMAN
941.0,MTA - EXPO LINE - PICO
882.0,MTA - ORANGE LINE - SHERMAN WAY
872.0,MTA - ORANGE LINE - VAN NUYS
414.0,BOOK STORE
880.0,MTA - ORANGE LINE - CANOGA
884.0,MTA - ORANGE LINE - NORDHOFF
918.0,MTA - PURPLE LINE - 7TH AND METRO CENTER
608.0,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
250.0,COMPUTER SERVICES/REPAIRS/SALES
968.0,MTA - GOLD LINE - LINCOLN/CYPRESS
513.0,ABATEMENT LOCATION
963.0,MTA - GOLD LINE - MARIACHI PLAZA
952.0,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
129.0,"TERMINAL, OTHER THAN MTA"
893.0,MTA - SILVER LINE - SLAUSON
227.0,ABORTION CLINIC/ABORTION FACILITY*
875.0,MTA - ORANGE LINE - BALBOA
756.0,MUSCLE BEACH
917.0,MTA - PURPLE LINE - PERSHING SQUARE
874.0,MTA - ORANGE LINE - WOODLEY
743.0,MASS GATHERING LOCATION
969.0,MTA - GOLD LINE - HERITAGE SQ
958.0,MTA - GREEN LINE - AVIATION/LAX
225.0,RECORD-CD MUSIC/COMPUTER GAME STORE
870.0,MTA - ORANGE LINE - VALLEY COLLEGE
890.0,MTA - SILVER LINE - UNION STATION
746.0,SEWAGE FACILITY/PIPE
714.0,DODGER STADIUM
711.0,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*"
304.0,GARMENT MANUFACTURER
892.0,MTA - SILVER LINE - 37TH ST/USC
869.0,MTA - ORANGE LINE - LAUREL CANYON
967.0,MTA - GOLD LINE - CHINATOWN
961.0,MTA - GOLD LINE - INDIANA
245.0,CATERING/ICE CREAM TRUCK
246.0,METHADONE CLINIC
810.0,AMTRAK TRAIN
715.0,HORSE RACING/SANTA ANITA PARK*
891.0,MTA - SILVER LINE - DOWNTOWN STREET STOPS
223.0,VIDEO RENTAL STORE
898.0,MTA - SILVER LINE - PACIFIC COAST HWY
224.0,SURPLUS SURVIVAL STORE
878.0,MTA - ORANGE LINE - PIERCE COLLEGE
883.0,MTA - ORANGE LINE - ROSCOE
748.0,CULTURAL SIGNIFICANCE/MONUMENT
873.0,MTA - ORANGE LINE - SEPULVEDA
965.0,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
136.0,"OTHER INTERSTATE, CHARTER BUS"
964.0,MTA - GOLD LINE - PICO/ALISO
731.0,MOSQUE*
879.0,MTA - ORANGE LINE - DE SOTO
143.0,ESCALATOR*
137.0,TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*
803.0,RETIRED (DUPLICATE) DO NOT USE THIS CODE
305.0,CHEMICAL STORAGE/MANUFACTURING PLANT
889.0,MTA - SILVER LINE - LAC/USC MEDICAL CENTER
240.0,DEPT OF DEFENSE FACILITY
805.0,RETIRED (DUPLICATE) DO NOT USE THIS CODE
126.0,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
734.0,HOCKEY RINK/ICE HOCKEY
894.0,MTA - SILVER LINE - MANCHESTER
836.0,HARBOR FRWY STATION (NOT LINE SPECIFIC)
972.0,
973.0,
976.0,
975.0,
